movie_name_script_slug_conventioned,movie_name_imsdb_conventioned,_merge_imsdb_scriptslug,movie_name_conventioned,movie_name_dailyscripts_conventioned,_merge_main_dailyscripts
,Breakdown,right_only,Breakdown,Breakdown,both
,,,,Breakfast At Tiffanys,right_only
Breaking Away,Breaking Away,both,Breaking Away,,left_only
Breathe,,left_only,Breathe,,left_only
Brick,Brick,both,Brick,,left_only
Bride Of Chucky,,left_only,Bride Of Chucky,,left_only
Bridesmaids,Bridesmaids,both,Bridesmaids,,left_only
Bridge Of Spies,,left_only,Bridge Of Spies,,left_only
Bridget Jones Diary,,left_only,Bridget Jones Diary,,left_only
Bridget Joness Baby,,left_only,Bridget Joness Baby,,left_only
Bright,,left_only,Bright,,left_only
Brightburn,,left_only,Brightburn,,left_only
,Bringing Out The Dead,right_only,Bringing Out The Dead,Bringing Out The Dead,both
,Bringing Out The Dead,right_only,Bringing Out The Dead,Bringing Out The Dead,both
,,,,Bringing Up Baby,right_only
Broadcast News,Broadcast News,both,Broadcast News,Broadcast News,both
Brokeback Mountain,,left_only,Brokeback Mountain,,left_only
Broken Arrow,Broken Arrow,both,Broken Arrow,,left_only
,Broken Embraces,right_only,Broken Embraces,,left_only
Brooklyn,,left_only,Brooklyn,Brooklyn,both
,Bruce Almighty,right_only,Bruce Almighty,Bruce Almighty,both
Buffy The Vampire Slayer,Buffy The Vampire Slayer,both,Buffy The Vampire Slayer,Buffy The Vampire Slayer,both
,Bull Durham,right_only,Bull Durham,Bull Durham,both
Buried,Buried,both,Buried,,left_only
,Burlesque,right_only,Burlesque,,left_only
Burn After Reading,Burn After Reading,both,Burn After Reading,,left_only
,Burning Annie,right_only,Burning Annie,,left_only
Burnt,,left_only,Burnt,,left_only
Butch Cassidy And The Sundance Kid,,left_only,Butch Cassidy And The Sundance Kid,Butch Cassidy And The Sundance Kid,both
,Cable Guy,right_only,Cable Guy,,left_only
Caddyshack,,left_only,Caddyshack,,left_only
Call Me By Your Name,,left_only,Call Me By Your Name,Call Me By Your Name,both
,,,,Call Northside 777 (part 1),right_only
,,,,Call Northside 777 (part 2),right_only
,,,,Calvary,right_only
Can You Ever Forgive Me,,left_only,Can You Ever Forgive Me,,left_only
,Candle To Water,right_only,Candle To Water,,left_only
Candyman,,left_only,Candyman,,left_only
Candyman,,left_only,Candyman,,left_only
Cape Fear,,left_only,Cape Fear,,left_only
Capharnaum,,left_only,Capharnaum,,left_only
Capote,Capote,both,Capote,Capote,both
Captain America The First Avenger,,left_only,Captain America The First Avenger,,left_only
Captain Fantastic,,left_only,Captain Fantastic,,left_only
,,,,Captain Phillips (was Maersk Alabama),right_only
Car Wash,,left_only,Car Wash,,left_only
Carlitos Way,,left_only,Carlitos Way,,left_only
Carnage,,left_only,Carnage,,left_only
,,,,Carnivore,right_only
Carol,,left_only,Carol,Carol,both
Carrie,Carrie,both,Carrie,,left_only
,Cars 2,right_only,Cars 2,,left_only
Casablanca,Casablanca,both,Casablanca,Casablanca,both
,Case 39,right_only,Case 39,,left_only
Casino,Casino,both,Casino,Casino,both
Casino Royale,,left_only,Casino Royale,Casino Royale,both
Casper,,left_only,Casper,,left_only
Cassandro,Cassandro,both,Cassandro,,left_only
Cast Away,Cast Away,both,Cast Away,Cast Away,both
Catch Me If You Can,Catch Me If You Can,both,Catch Me If You Can,,left_only
Catherine Called Birdy,,left_only,Catherine Called Birdy,,left_only
,Catwoman,right_only,Catwoman,Catwoman,both
Cb4,,left_only,Cb4,,left_only
,Cecil B Demented,right_only,Cecil B Demented,,left_only
,Cedar Rapids,right_only,Cedar Rapids,,left_only
,Celeste & Jesse Forever,right_only,Celeste & Jesse Forever,,left_only
,Cellular,right_only,Cellular,Cellular,both
Challengers,,left_only,Challengers,,left_only
,Changeling,right_only,Changeling,Changeling,both
,Chaos,right_only,Chaos,,left_only
Chaplin,,left_only,Chaplin,,left_only
,Charade,right_only,Charade,Charade,both
Chariots Of Fire,,left_only,Chariots Of Fire,,left_only
Charlie And The Chocolate Factory,,left_only,Charlie And The Chocolate Factory,,left_only
Charlie Bartlett,,left_only,Charlie Bartlett,,left_only
Charlie Wilsons War,,left_only,Charlie Wilsons War,,left_only
,Charlies Angels,right_only,Charlies Angels,Charlies Angels,both
Chasing Amy,Chasing Amy,both,Chasing Amy,Chasing Amy,both
,Chasing Sleep,right_only,Chasing Sleep,Chasing Sleep,both
Chef,,left_only,Chef,,left_only
Cherry,,left_only,Cherry,,left_only
,Cherry Falls,right_only,Cherry Falls,,left_only
Children Of Men,,left_only,Children Of Men,Children Of Men,both
Childs Play,,left_only,Childs Play,,left_only
Chinatown,Chinatown,both,Chinatown,Chinatown,both
,Christ Complex,right_only,Christ Complex,,left_only
Christine,,left_only,Christine,,left_only
Christmas At Pee Wees Playhouse,,left_only,Christmas At Pee Wees Playhouse,,left_only
Chronicle,Chronicle,both,Chronicle,Chronicle,both
