name,name_conventioned,movie_name,movie_url,movie_url_extension,movie_name_conventioned,_merge,name_error,error,name_conventioned_error
Dave Barry's Complete Guide to Guys,Dave Barrys Complete Guide To Guys,,,,,left_only,,,
Dawn of the Dead,Dawn Of The Dead,,,,,left_only,,,
Day of the Dead,Day Of The Dead,,,,,left_only,,,
Days of Heaven,Days Of Heaven,Days of Heaven,https://www.dailyscript.com/scripts/daysofheaven.html,html,Days Of Heaven,both,,,
Dead Poets Society,Dead Poets Society,Dead Poets Society,https://www.dailyscript.com/scripts/Dead%20Poets%20Society.txt,txt,Dead Poets Society,both,,,
Deadpool,Deadpool,,,,,left_only,,,
Deadpool & Wolverine,Deadpool & Wolverine,,,,,left_only,Deadpool & Wolverine,HTML len = 0 : no content scrapped,Deadpool & Wolverine
Dear White People,Dear White People,,,,,left_only,,,
Death at a Funeral,Death At A Funeral,,,,,left_only,,,
Death to Smoochy,Death To Smoochy,Death to Smoochy,https://www.dailyscript.com/scripts/Death_to_Smoochy.pdf,pdf,Death To Smoochy,both,,,
Deception,Deception,,,,,left_only,,,
Deep Cover,Deep Cover,Deep Cover,https://www.dailyscript.com/scripts/Deep%20Cover.txt,txt,Deep Cover,both,,,
Deep Rising,Deep Rising,Deep Rising,https://www.dailyscript.com/scripts/deep_rising.html,html,Deep Rising,both,,,
Defiance,Defiance,Defiance,https://www.dailyscript.com/scripts/Final_Defiance_With_Cover.pdf,pdf,Defiance,both,,,
Despicable Me 2,Despicable Me 2,,,,,left_only,,,
