movie_name,script_page_url,pdf_url
Coraline,https://www.scriptslug.com/script/coraline-2009,https://assets.scriptslug.com/live/pdf/scripts/coraline-2009.pdf?v=1729114890
Corpse Bride,https://www.scriptslug.com/script/corpse-bride-2005,https://assets.scriptslug.com/live/pdf/scripts/corpse-bride-2005.pdf?v=1729114891
The Cotton Club,https://www.scriptslug.com/script/the-cotton-club-1984,https://assets.scriptslug.com/live/pdf/scripts/the-cotton-club-1984.pdf?v=1729115012
Courage Under Fire,https://www.scriptslug.com/script/courage-under-fire-1996,https://assets.scriptslug.com/live/pdf/scripts/courage-under-fire-1996.pdf?v=1729114891
The Craft,https://www.scriptslug.com/script/the-craft-1996,https://assets.scriptslug.com/live/pdf/scripts/the-craft-1996.pdf?v=1729115012
Crash,https://www.scriptslug.com/script/crash-2004,https://assets.scriptslug.com/live/pdf/scripts/crash-2004.pdf?v=1729114891
Crawl,https://www.scriptslug.com/script/crawl-2019,https://assets.scriptslug.com/live/pdf/scripts/crawl-2019.pdf?v=1729114891
Crazy Rich Asians,https://www.scriptslug.com/script/crazy-rich-asians-2018,https://assets.scriptslug.com/live/pdf/scripts/crazy-rich-asians-2018.pdf?v=1729114891
"Crazy, Stupid, Love.",https://www.scriptslug.com/script/crazy-stupid-love-2011,https://assets.scriptslug.com/live/pdf/scripts/crazy-stupid-love-2011.pdf?v=1729114891
Creed,https://www.scriptslug.com/script/creed-2015,https://assets.scriptslug.com/live/pdf/scripts/creed-2015.pdf?v=1729114891
Creed II,https://www.scriptslug.com/script/creed-ii-2018,https://assets.scriptslug.com/live/pdf/scripts/creed-ii-2018.pdf?v=1729114891
Creed III,https://www.scriptslug.com/script/creed-iii-2023,https://assets.scriptslug.com/live/pdf/scripts/creed-iii-2023.pdf?v=1729114891
Crimson Peak,https://www.scriptslug.com/script/crimson-peak-2015,https://assets.scriptslug.com/live/pdf/scripts/crimson-peak-2015.pdf?v=1729114891
Critters,https://www.scriptslug.com/script/critters-1986,https://assets.scriptslug.com/live/pdf/scripts/critters-1986.pdf?v=1729114892
The Crow,https://www.scriptslug.com/script/the-crow-1994,https://assets.scriptslug.com/live/pdf/scripts/the-crow-1994.pdf?v=1729115012
The Curious Case of Benjamin Button,https://www.scriptslug.com/script/the-curious-case-of-benjamin-button-2008,https://assets.scriptslug.com/live/pdf/scripts/the-curious-case-of-benjamin-button-2008.pdf?v=1729115012
Curly Sue,https://www.scriptslug.com/script/curly-sue-1991,https://assets.scriptslug.com/live/pdf/scripts/curly-sue-1991.pdf?v=1729114892
The Cutting Edge,https://www.scriptslug.com/script/the-cutting-edge-1992,https://assets.scriptslug.com/live/pdf/scripts/the-cutting-edge-1992.pdf?v=1729115012
Cyrano,https://www.scriptslug.com/script/cyrano-2022,https://assets.scriptslug.com/live/pdf/scripts/cyrano-2022.pdf?v=1729114892
"D2
The Mighty Ducks",https://www.scriptslug.com/script/d2-the-mighty-ducks-1994,https://assets.scriptslug.com/live/pdf/scripts/d2-the-mighty-ducks-1994.pdf?v=1729114892
"D3
The Mighty Ducks",https://www.scriptslug.com/script/d3-the-mighty-ducks-1996,https://assets.scriptslug.com/live/pdf/scripts/d3-the-mighty-ducks-1996.pdf?v=1729114892
Da 5 Bloods,https://www.scriptslug.com/script/da-5-bloods-2020,https://assets.scriptslug.com/live/pdf/scripts/da-5-bloods-2020.pdf?v=1729114892
Dallas Buyer's Club,https://www.scriptslug.com/script/dallas-buyers-club-2013,https://assets.scriptslug.com/live/pdf/scripts/dallas-buyers-club-2013.pdf?v=1729114892
Dances with Wolves,https://www.scriptslug.com/script/dances-with-wolves-1990,https://assets.scriptslug.com/live/pdf/scripts/dances-with-wolves-1990.pdf?v=1729114892
The Danish Girl,https://www.scriptslug.com/script/the-danish-girl-2015,https://assets.scriptslug.com/live/pdf/scripts/the-danish-girl-2015.pdf?v=1729115012
Daredevil,https://www.scriptslug.com/script/daredevil-2003,https://assets.scriptslug.com/live/pdf/scripts/daredevil-2003.pdf?v=1729114892
Dark City,https://www.scriptslug.com/script/dark-city-1998,https://assets.scriptslug.com/live/pdf/scripts/dark-city-1998.pdf?v=1729114893
The Dark Knight,https://www.scriptslug.com/script/the-dark-knight-2008,https://assets.scriptslug.com/live/pdf/scripts/the-dark-knight-2008.pdf?v=1729115013
The Dark Knight Rises,https://www.scriptslug.com/script/the-dark-knight-rises-2012,https://assets.scriptslug.com/live/pdf/scripts/the-dark-knight-rises-2012.pdf?v=1729115013
Darker Than Amber,https://www.scriptslug.com/script/darker-than-amber-1970,https://assets.scriptslug.com/live/pdf/scripts/darker-than-amber-1970.pdf?v=1729114893
Darkest Hour,https://www.scriptslug.com/script/darkest-hour-2017,https://assets.scriptslug.com/live/pdf/scripts/darkest-hour-2017.pdf?v=1729114893
Darkman,https://www.scriptslug.com/script/darkman-1990,https://assets.scriptslug.com/live/pdf/scripts/darkman-1990.pdf?v=1729114893
Dawn of the Dead,https://www.scriptslug.com/script/dawn-of-the-dead-2004,https://assets.scriptslug.com/live/pdf/scripts/dawn-of-the-dead-2004.pdf?v=1729114893
Dawn of the Planet of the Apes,https://www.scriptslug.com/script/dawn-of-the-planet-of-the-apes-2021,https://assets.scriptslug.com/live/pdf/scripts/dawn-of-the-planet-of-the-apes-2014.pdf?v=1729114893
Days of Heaven,https://www.scriptslug.com/script/days-of-heaven-1978,https://assets.scriptslug.com/live/pdf/scripts/days-of-heaven-1978.pdf?v=1729114893
Dazed and Confused,https://www.scriptslug.com/script/dazed-and-confused-1993,https://assets.scriptslug.com/live/pdf/scripts/dazed-and-confused-1993.pdf?v=1729114893
Dead Poets Society,https://www.scriptslug.com/script/dead-poets-society-1989,https://assets.scriptslug.com/live/pdf/scripts/dead-poets-society-1989.pdf?v=1729114893
The Dead Zone,https://www.scriptslug.com/script/the-dead-zone-1983,https://assets.scriptslug.com/live/pdf/scripts/the-dead-zone-1983.pdf?v=1729115013
Deadpool & Wolverine,https://www.scriptslug.com/script/deadpool-and-wolverine-2024,https://assets.scriptslug.com/live/pdf/scripts/deadpool-and-wolverine-2024.pdf?v=1738462441
Deadpool,https://www.scriptslug.com/script/deadpool-2016,https://assets.scriptslug.com/live/pdf/scripts/deadpool-2016.pdf?v=1729114893
