name,pacal_case_name,movie_name,movie_url,movie_url_extension,pacal_case_movie_name,_merge,name_error,error,pacal_case_name_error
The LEGO Movie,thelegomovie,,,,,left_only,,,
The Life of David Gale,thelifeofdavidgale,The Life of David Gale,https://www.dailyscript.com/scripts/the_life_of_david_gale.pdf,pdf,thelifeofdavidgale,both,,,
The Limey,thelimey,The Limey,https://www.dailyscript.com/scripts/the-limey.html,html,thelimey,both,,,
The Lincoln Lawyer,thelincolnlawyer,,,,,left_only,,,
The Lion King,thelionking,,,,,left_only,The Lion King,HTML len = 0 : no content scrapped,thelionking
The Little Mermaid,thelittlemermaid,,,,,left_only,,,
Thelma & Louise,thelma&louise,Thelma & Louise,https://www.dailyscript.com/scripts/Thelma%20And%20Louise.txt,txt,thelma&louise,both,Thelma & Louise,HTML len = 0 : no content scrapped,thelma&louise
The Long Kiss Goodnight,thelongkissgoodnight,,,,,left_only,,,
The Lord of the Rings: Fellowship of the Ring,thelordoftheringsfellowshipofthering,,,,,left_only,,,
The Losers,thelosers,,,,,left_only,,,
The Majestic,themajestic,The Majestic,https://www.dailyscript.com/scripts/TheBijou.html,html,themajestic,both,,,
The Manchurian Candidate,themanchuriancandidate,The Manchurian Candidate,https://www.dailyscript.com/scripts/manchuriancandidate2004.pdf,pdf,themanchuriancandidate,both,,,
The Man Who Knew Too Much,themanwhoknewtoomuch,The Man Who Knew Too Much,https://www.dailyscript.com/scripts/TheManWhoKnewTooMuch.pdf,pdf,themanwhoknewtoomuch,both,,,
The Man Who Wasn't There,themanwhowasntthere,The Man Who Wasn't There,"https://www.dailyscript.com/scripts/Man%20Who%20Wasn't%20There,%20The.txt",txt,themanwhowasntthere,both,,,
The Martian,themartian,,,,,left_only,,,
The Mask,themask,,,,,left_only,,,
The Master,themaster,,,,,left_only,,,
The Matrix,thematrix,The Matrix,https://www.dailyscript.com/scripts/the_matrix.pdf,pdf,thematrix,both,,,
The Matrix Reloaded,thematrixreloaded,,,,,left_only,,,
The Mechanic,themechanic,,,,,left_only,,,
The Menu,themenu,,,,,left_only,,,
The Men Who Stare at Goats,themenwhostareatgoats,,,,,left_only,,,
The Miracle Worker,themiracleworker,,,,,left_only,,,
The Mummy,themummy,,,,,left_only,,,
The Neverending Story,theneverendingstory,,,,,left_only,,,
The Next Three Days,thenextthreedays,,,,,left_only,,,
The Nightmare Before Christmas,thenightmarebeforechristmas,The Nightmare Before Christmas,https://www.dailyscript.com/scripts/nightmare-b4-xmas_early.html,html,thenightmarebeforechristmas,both,,,
The Nines,thenines,,,,,left_only,,,
The Ninth Gate,theninthgate,,,,,left_only,,,
The Other Boleyn Girl,theotherboleyngirl,,,,,left_only,,,
The Pacifier,thepacifier,The Pacifier,https://www.dailyscript.com/scripts/The_Pacifier.pdf,pdf,thepacifier,both,,,
The Passion of Joan of Arc,thepassionofjoanofarc,,,,,left_only,,,
The Patriot,thepatriot,The Patriot,https://www.dailyscript.com/scripts/Patriot_1998.html,html,thepatriot,both,,,
The Perks of Being a Wallflower,theperksofbeingawallflower,,,,,left_only,,,
The Persian Version,thepersianversion,,,,,left_only,,,
The Pianist,thepianist,The Pianist,"https://www.dailyscript.com/scripts/Pianist,%20The.txt",txt,thepianist,both,,,
The Piano,thepiano,The Piano,https://www.dailyscript.com/scripts/thepianolesson.html,html,thepiano,both,,,
The Planet of the Apes,theplanetoftheapes,,,,,left_only,,,
The Postman,thepostman,The Postman,https://www.dailyscript.com/scripts/the_postman.pdf,pdf,thepostman,both,,,
The Power of One,thepowerofone,The Power of One,https://www.dailyscript.com/scripts/Power_of_One.pdf,pdf,thepowerofone,both,,,
The Prestige,theprestige,The Prestige,https://www.dailyscript.com/scripts/Prestige.pdf,pdf,theprestige,both,,,
The Princess Bride,theprincessbride,The Princess Bride,"https://www.dailyscript.com/scripts/Princess%20Bride,%20The.txt",txt,theprincessbride,both,,,
The Private Life of Sherlock Holmes,theprivatelifeofsherlockholmes,,,,,left_only,,,
The Producer,theproducer,,,,,left_only,,,
The Program,theprogram,The Program,"https://www.dailyscript.com/scripts/Program,%20The%20(1993).txt",txt,theprogram,both,,,
The Prophecy,theprophecy,The Prophecy,"https://www.dailyscript.com/scripts/Prophecy,%20The.txt",txt,theprophecy,both,,,
The Proposal,theproposal,,,,,left_only,,,
The Queen,thequeen,The Queen,https://www.dailyscript.com/scripts/TheQueenScreenplay.pdf,pdf,thequeen,both,,,
The Rage: Carrie 2,theragecarrie2,,,,,left_only,,,
The Reader,thereader,The Reader,https://www.dailyscript.com/scripts/The_Reader.pdf,pdf,thereader,both,,,
The Relic,therelic,The Relic,https://www.dailyscript.com/scripts/the-relic_early.html,html,therelic,both,,,
The Replacements,thereplacements,The Replacements,https://www.dailyscript.com/scripts/the_replacements.pdf,pdf,thereplacements,both,,,
The Rescuers Down Under,therescuersdownunder,,,,,left_only,,,
There's Something About Mary,theressomethingaboutmary,There's Something About Mary,https://www.dailyscript.com/scripts/aboutmary.html,html,theressomethingaboutmary,both,,,
The Revenant,therevenant,,,,,left_only,,,
The Road,theroad,,,,,left_only,,,
The Rock,therock,,,,,left_only,,,
The Rocky Horror Picture Show,therockyhorrorpictureshow,,,,,left_only,,,
The Roommate,theroommate,,,,,left_only,,,
The Ruins,theruins,,,,,left_only,,,
The Saint,thesaint,The Saint,https://www.dailyscript.com/scripts/the_saint.html,html,thesaint,both,,,
The Salton Sea,thesaltonsea,The Salton Sea,https://www.dailyscript.com/scripts/salton_sea.html,html,thesaltonsea,both,,,
The Sandlot Kids,thesandlotkids,,,,,left_only,,,
The Searchers,thesearchers,The Searchers,"https://www.dailyscript.com/scripts/Searchers,%20The.txt",txt,thesearchers,both,,,
The Secret Life of Walter Mitty,thesecretlifeofwaltermitty,The Secret Life of Walter Mitty,"https://www.dailyscript.com/scripts/Secret_Life_of_Walter_MItty,The.pdf",pdf,thesecretlifeofwaltermitty,both,,,
The Sessions,thesessions,,,,,left_only,,,
The Seventh Seal,theseventhseal,,,,,left_only,,,
The Shawshank Redemption,theshawshankredemption,The Shawshank Redemption,https://www.dailyscript.com/scripts/shawshank.html,html,theshawshankredemption,both,,,
The Shining,theshining,The Shining,https://www.dailyscript.com/scripts/shining.html,html,theshining,both,,,
